,AUC_ROC,AUC_PR,F1,BalancedAccuracy,Recall_PositiveClass,Precision_PositiveClass
weighted,0.7417493664047347,0.29071685607748743,0.3256200308532099,0.6782449586985305,0.6939807789580172,0.21271317829457365
smote,0.7413888434215091,0.28938874875101134,0.3263900016023073,0.677750386786488,0.6868993424380374,0.21404928282456787
